Location,Time,Quantity,Keywords
"Boulder, Colorado",29-May-17,3214,savemoney traveljunkie
Myra Falls in Strathcona Park,7-Jun-17,2728,canadabydesign
"Quadra Island, BC",7-Jun-17,2607,canadabydesign
"Quadra Island, BC",8-Jun-17,4170,canadabydesign
"Telegraph Cove, British Columbia",10-Jun-17,2612,canadabydesign
"Cathedral Cove, British Columbia",10-Jun-17,3222,canadabydesign
"Alert Bay, British Columbia",14-Jun-17,2422,canadabydesign
"Hot Springs Cove, British Colubmia",15-Jun-17,3305,canadabydesign
"Biltmore Estate, Asheville NC",24-Jun-17,3923,visitasheville biltmoreestate
Frenchbroad River,25-Jun-17,2672,visitasheville partner
Looking Glass Falls US,28-Jun-17,2908,visitasheville partner
Blue Ridge Parkway US,30-Jun-17,3300,visitasheville partner
"Las Vegas, Nevada",1-Jul-17,2277,lasvegas topgun partner gopro
Grand Canyon National Park,3-Jul-17,4402,lasvegas maverickhelicopter partner
Boundary Waters Canoe Area Wilderness,20-Jul-17,2698,bwca minnesota
Boundary Waters Canoe Area Wilderness,22-Jul-17,4142,savethebwca minnesota
